Service Category,Service Name,Service Cost (Cash),Service Cost (Corporate),Service Cost (Insurance),Service Cost (Foreigner)
RADIOGRAPHY,CT SCAN,"2,000.00","2,000.00","2,000.00",0
ULTRASOUND,ABDOMINAL-PELVIC SCAN,"2,500.00","3,000.00","3,000.00",0
ULTRASOUND,ABDOMINAL SCAN,"2,000.00","2,500.00","2,500.00",0
ULTRASOUND,BREAST SCAN,"2,500.00","3,500.00","3,500.00","3,500.00"
ULTRASOUND,DOPPLER SCAN (BILATERAL),"5,000.00","6,000.00","6,000.00",0
ULTRASOUND,DOPPLER SCAN (SINGLE),"2,500.00","3,000.00","3,000.00","3,000.00"
ULTRASOUND,INGUINAL,"2,500.00","3,500.00","3,500.00","3,500.00"
ULTRASOUND,MULTI REGIONAL SCAN,"4,000.00","5,000.00","5,000.00",0
ULTRASOUND,MUSCULOSKELETAL SCAN,"2,500.00","3,000.00","3,000.00",0
ULTRASOUND,OBSTETRIC SCAN,"2,000.00","3,000.00","3,000.00","2,000.00"
ULTRASOUND,PELVIC SCAN (TAS/TVS),"2,000.00","2,500.00","2,500.00",0
ULTRASOUND,PROSTATE/KUB SCAN,"2,000.00","3,000.00","3,000.00",0
ULTRASOUND,RENAL DOPPLER,"2,500.00","3,500.00","3,500.00","3,500.00"
ULTRASOUND,THYROID SCAN,"2,500.00","3,500.00","3,500.00","3,500.00"
X-RAY,ABDOMEN (X-RAY),800,"1,200.00","1,200.00",0
X-RAY,ANKLE JOINT - LOWER LIMB,800,"1,200.00","1,200.00","1,200.00"
X-RAY,CERVICAL SPINE(X-RAY),"1,000.00","1,500.00","1,500.00",0
X-RAY,"CHEST CLAVICLE, STERNUM (X-RAY)",800,"1,000.00","1,000.00",0
X-RAY,ELBOW JOINT (X-RAY),800,"1,200.00","1,200.00","1,200.00"
X-RAY,FEMUR - LOWER LIMB,800,"1,200.00","1,200.00","1,200.00"
X-RAY,FILM X - RAY,500,500,500,500
X-RAY,FINGER - UPPER LIMB (X-RAY),800,"1,200.00","1,200.00","1,200.00"
X-RAY,FOOT (X-RAY),800,"1,200.00","1,200.00","1,200.00"
X-RAY,HAND (X-RAY),800,"1,200.00","1,200.00","1,200.00"
X-RAY,HEEL / CALCANEAL,800,"1,200.00","1,200.00",0
X-RAY,HIP JOINT (X-RAY),800,"1,200.00","1,200.00","1,200.00"
X-RAY,HUMERUS (X-RAY),800,"1,200.00","1,200.00","1,200.00"
X-RAY,KNEE JOINT - LOWER LIMB,800,"1,200.00","1,200.00","1,200.00"
X-RAY,LUMBAR SPINE (X-RAY),"1,000.00","1,500.00","1,500.00",0
X-RAY,OBSTETRIC SCAN(MATERNITY AND MCH),"1,500.00","2,000.00","2,000.00",0
X-RAY,"PELVIC,HIP (X-RAY)",800,"1,200.00","1,200.00","1,200.00"
X-RAY,"PNS,TMJ (X-RAY)","1,000.00","1,500.00","1,500.00","1,500.00"
X-RAY,RADIALULNA (X-RAY),800,"1,200.00","1,200.00","1,200.00"
X-RAY,SCROTAL SCAN,"2,500.00","3,500.00","3,500.00","3,500.00"
X-RAY,SHOULDER GIRDLE (X-RAY),800,"1,200.00","1,200.00",0
X-RAY,SKULL,"1,000.00","1,500.00","1,500.00","1,500.00"
X-RAY,THORACIC SPINE,"1,000.00","1,500.00","1,500.00",0
X-RAY,THORACOLUMBAR SPINE,"1,500.00","2,000.00","2,000.00","2,000.00"
X-RAY,TIBIA FIBULA - LOWER LIMB,800,"1,200.00","1,200.00","1,200.00"
X-RAY,TOE (X-RAY),800,"1,200.00","1,200.00","1,200.00"
X-RAY,WRIST JOINT - UPPER LIMB,800,"1,200.00","1,200.00","1,200.00"
