NAME,BUY_PRICE,BUY_PRICE_INCLUDE_TAX,INITIAL_STOCK,REMAINING_QUANTITY,SERIAL_NO,EXPIRY_DATE
ABIDEC 25MLS,Ksh14.00,Yes,1000,,,0/0/00
ABZ 400mg Generic,"Ksh1,150.00",Yes,1000,,,
ABZ 400mg tab,Ksh10.00,Yes,100,,,
ABZ susp 10mls,Ksh25.00,Yes,1000,,,
ABZ susp Generic,Ksh35.00,Yes,1002,,,
ACE 250mg paracet SUPP,Ksh20.00,Yes,1003,,,
ACEFAN 100MG,Ksh15.00,Yes,1004,,,
ACENAC 100mg,Ksh5.00,Yes,1005,,,
ACEPAR MR,Ksh5.00,Yes,1006,,,
ACEPAR PLUS,Ksh25.00,Yes,1008,,,
ACEPAR SP,Ksh10.00,Yes,1009,,,
ACEPAR tabs,Ksh27.00,Yes,101,,,
ACETAL MR,Ksh15.00,Yes,1010,,,
ACETAMINOPHEN SUPP-125MG,Ksh5.00,Yes,1011,,,
ACETAMINOPHEN SUPP-250MG,Ksh15.00,Yes,1012,,,
ACICLOVIR CREAM univir,Ksh15.00,Yes,1014,,,
ACINET 156.25MG 100ML,Ksh160.00,Yes,1016,,,
ACIRAX cream 10gms,Ksh130.00,Yes,1017,,,
ACLOFAST SP,Ksh50.00,Yes,1019,,,
ACLOFRE 100mg,Ksh20.00,Yes,102,,,
ACLOSARA MR,Ksh15.00,Yes,1020,,,
ACNESOL CREAM 25GMS,Ksh15.00,Yes,1021,,,
ACNESTAR CREAM 0.5%,Ksh105.00,Yes,1022,,,
ACNESTAR Cream 25Grams 0.05%,Ksh95.00,Yes,1023,,,
ACTALS b/p Pair,Ksh100.00,Yes,1024,,,
ACTALS TUMS GSK PAIR,Ksh2.00,Yes,1025,,,
ACTIDROX 500mg 10's,Ksh8.00,Yes,1026,,,
ACTIFED WET COUGH 100MLS,Ksh160.00,Yes,1027,,,
ACTILIFE Vitc/D/Zinc,Ksh324.00,Yes,1028,,,
ACTILOSA CAPS,Ksh35.00,Yes,1029,,,
ACTILOSA DRY SYRP,Ksh52.00,Yes,1030,,,
ACTINAC Plus ACECLO/PCM,Ksh385.00,Yes,1031,,,
ACTION TABS PAIR,Ksh6.00,Yes,1032,,,
ACTOPHELM 100MLS,Ksh8.00,Yes,1033,,,
ACTRAID 100IU solube insulin,Ksh212.00,Yes,1035,,,
ACYCLOVIR  200MG tabs,Ksh50.00,Yes,1039,,,
ACYCLOVIR 3% Eye,Ksh5.00,Yes,104,,,
ACYCLOVIR 400MG  AZZIR,Ksh340.00,Yes,1040,,,
ADALAT LA 30mg,Ksh12.00,Yes,1042,,,
ADAPCO GEL15gms,Ksh70.00,Yes,1043,,,
ADIFLAM GEL 30G,Ksh100.00,Yes,1044,,,
ADIPIN 10MG,Ksh30.00,Yes,1045,,,
ADOL 250MG SUPP,Ksh7.50,Yes,1046,,,
ADOL SUPP 125MG,Ksh24.00,Yes,1047,,,
ADOVAS 100MLS,Ksh20.00,Yes,1048,,,
ADRENALINE INJ,Ksh128.00,Yes,105,,,
AERIUS 150mls,Ksh27.00,Yes,1050,,,
AERIUS 60mls,Ksh940.00,Yes,1051,,,
AERIUS TABS 5MG,Ksh400.00,Yes,1052,,,
AEROVENT INHALER,Ksh66.00,Yes,1054,,,
AFLODOR 8,Ksh900.00,Yes,1055,,,
AGITA INSECT BAIT,Ksh10.00,Yes,1056,,,
AIRTAL 100mg,Ksh120.00,Yes,1058,,,
ALACOT 0.2% 5mls,Ksh67.00,Yes,1059,,,
ALARID ketotifen 100mls,Ksh400.00,Yes,106,,,
ALATROL 30mls,Ksh70.00,Yes,1060,,,
ALATROL 60mls,Ksh55.00,Yes,1062,,,
ALBEN SUSP 10MLS,Ksh85.00,Yes,1064,,,
ALBEN TAB,Ksh80.00,Yes,1065,,,
ALBENDAZOLE ZENTEL -GSK 10ML,Ksh73.00,Yes,1067,,,
ALBESUN susp 400mg,Ksh155.00,Yes,1068,,,
ALCOF 60MLS,Ksh17.00,Yes,1069,,,
ALCOF EXPECTORANT,Ksh23.00,Yes,107,,,
ALDACTONE 25MG,Ksh25.00,Yes,1070,,,
ALDOMET 250mg,Ksh20.00,Yes,1072,,,
ALDOMET 500mg,Ksh16.00,Yes,1074,,,
ALERCHEK 0.1%,Ksh31.00,Yes,1075,,,
ALERCHEK 0.2%,Ksh360.00,Yes,1077,,,
ALERFREE 60mls Levocetirizine,Ksh505.00,Yes,1078,,,
ALERSET,Ksh110.00,Yes,108,,,
ALERSET CELESTAMINE,Ksh5.00,Yes,1080,,,
ALGIC-P tabs,Ksh7.00,Yes,1081,,,
ALIMOX 100mls,Ksh5.00,Yes,1082,,,
ALIMOX 60mls,Ksh20.00,Yes,1083,,,
ALLERFAST 120mg,Ksh30.00,Yes,1085,,,
ALLERFAST 180mg,Ksh16.00,Yes,1086,,,
ALLERGO COMOD DROPS 10mls,Ksh25.00,Yes,1087,,,
ALLOPURINOL 100mg,Ksh820.00,Yes,1088,,,
ALLOPURINOL 300mg,Ksh6.00,Yes,109,,,
ALLUCID susp 100mls,Ksh8.00,Yes,1090,,,
allucid tabs,Ksh60.00,Yes,1092,,,
ALMAX 225mls,Ksh0.42,Yes,1093,,,
ALPHA 100mg Tabs,Ksh300.00,Yes,1094,,,
ALPHA MR,Ksh12.00,Yes,1095,,,
