No.,Item Code,Item Description,Item Category,Brand,U.O.M,Buying Price,Selling Price,Expense Account,Income Account
1,PHA346,(BRUSTAN) IBRUFEN/PARACETAMOL SUSPENSION 0,PHARMACY,,TABS,0,300,INVENTORY - PHARMACY,PHARMACY
2,PHA875,[SLOW K],PHARMACY,,TABS,0,30,INVENTORY - PHARMACY,PHARMACY
3,PHA525,0,PHARMACY,,TABS,90,200,INVENTORY - PHARMACY,PHARMACY
4,PHA737,1 REVERSE CUTTING,PHARMACY,,TABS,0,200,INVENTORY - PHARMACY,PHARMACY
5,30,13KG GAS (CANTEEN),CANTEEN & CATERING,,PIECES,2450,2450,COS-CANTEEN,CANTEEN INCOME
6,PHA738,2 REVERSE CUTTING,PHARMACY,,TABS,0,200,INVENTORY - PHARMACY,PHARMACY
7,PHA739,2/0 REVERSE CUTTING,PHARMACY,,TABS,0,200,INVENTORY - PHARMACY,PHARMACY
8,PHA965,3 WAY IV CANNULA CONNECTORS,PHARMACY,,TABS,110,150,INVENTORY - PHARMACY,PHARMACY
9,LAB048,4 WAY TIMER,LAB ITEMS,,PIECES,2700,0,COS-LABORATORY,LABORATORY
10,PHA393,60 CC SYRINGES,PHARMACY,,TABS,0,200,INVENTORY - PHARMACY,PHARMACY
11,PHA967,60CC BD SYRINGES WITH LUER LOCK,PHARMACY,,TABS,95,150,INVENTORY - PHARMACY,PHARMACY
12,29,6KG GAS (CANTEEN),CANTEEN & CATERING,,PIECES,1150,1150,COS-CANTEEN,CANTEEN INCOME
13,8033,85A,STATIONARY,,PIECES,0,0,ADMINISTRATIVE EXPENSES,NON-OPERATING REVENUE
14,8010,A4 ENVELOPES,STATIONARY,,PIECES,0,0,ADMINISTRATIVE EXPENSES,NON-OPERATING REVENUE
15,8011,A5 ENVELOPES,STATIONARY,,PIECES,0,0,ADMINISTRATIVE EXPENSES,NON-OPERATING REVENUE
16,CANTEEN092,AAAAAAA,CANTEEN & CATERING,,PIECES,0,5,COS-CANTEEN,CANTEEN INCOME
17,PHA770,ABDORMINAL PACKS,PHARMACY,,TABS,20,300,INVENTORY - PHARMACY,PHARMACY
18,345024,ABSORBENT PAPER POINT,DENTAL,,PKT,500,0,COS-DENTAL,DENTAL
19,PHA001,ACECLOFENAC TABS 100MG [CASH ONLY],PHARMACY,,TABS,0,10,INVENTORY - PHARMACY,PHARMACY
20,PHA002,ACTIVATED CHARCOAL 300MG,PHARMACY,,TABS,0,10,INVENTORY - PHARMACY,PHARMACY
21,35,ACTUAL ADULT DIAPERS (MEDIUM),CANTEEN & CATERING,,PKT,2250,2250,COS-CANTEEN,CANTEEN INCOME
22,PHA416,ACYCLOVIR 3% EYE OINTMENT 0,PHARMACY,,TABS,0,560,INVENTORY - PHARMACY,PHARMACY
23,PHA003,ACYCLOVIR CREAM 5MG[CASH],PHARMACY,,TABS,0,300,INVENTORY - PHARMACY,PHARMACY
24,PHA004,ACYCLOVIR TABS 200MG,PHARMACY,,TABS,0,10,INVENTORY - PHARMACY,PHARMACY
25,PHA005,ACYCLOVIR TABS 400MG,PHARMACY,,TABS,0,15,INVENTORY - PHARMACY,PHARMACY
26,PHA006,ADRENALINE INJ. 1MG/ML,PHARMACY,,TABS,0,50,INVENTORY - PHARMACY,PHARMACY
27,5004,AFIA 500 ML,CANTEEN & CATERING,,DOZEN,750,750,PREPAID SERVICE CONTRACTS,CATERING
28,5003,AFIA FRUIT JUICE 200ML,CANTEEN & CATERING,,DOZEN,0,0,PREPAID SERVICE CONTRACTS,
29,5005,AFIA JUICE 300ML,CANTEEN & CATERING,,DOZEN,550,550,PREPAID SERVICE CONTRACTS,
30,5006,AIRTEL 100,CANTEEN & CATERING,,PIECES,94,100,PREPAID SERVICE CONTRACTS,
31,5008,AIRTEL 20,CANTEEN & CATERING,,PIECES,18.8,20,PREPAID SERVICE CONTRACTS,
32,5009,AIRTEL 50,CANTEEN & CATERING,,PIECES,47,50,PREPAID SERVICE CONTRACTS,
33,ADM004,ALARM SERVICES,ADMINISTRATION,,OTHERS,10834,10834,SECURITY,HOSPITAL REVENUE
34,PHA007,ALBENDAZOLE SUSPENSION 400MG,PHARMACY,,TABS,0,50,INVENTORY - PHARMACY,PHARMACY
35,PHA008,ALBENDAZOLE TABS 400MG,PHARMACY,,TABS,0,30,INVENTORY - PHARMACY,PHARMACY
36,PHA009,ALDACTONE TABS 25MG,PHARMACY,,TABS,5.75,10,INVENTORY - PHARMACY,PHARMACY
37,345012,ALGENATE,DENTAL,,PKT,750,0,COS-DENTAL,DENTAL
38,PHA589,ALLCHEK (BLOOD GLUCOTEST STRIPS) (50 STRIPS),LAB ITEMS,,PIECES,1200,1600,COS-LABORATORY,LABORATORY
39,PHA463,ALLCHEK MACHINE,PHARMACY,,TABS,0,2500,INVENTORY - PHARMACY,PHARMACY
40,PHA010,ALLUGE120ML,PHARMACY,,TABS,0,100,INVENTORY - PHARMACY,PHARMACY
41,5017,ALOE TOOTHPASTE 105 GRAMS,CANTEEN & CATERING,,PIECES,37.5,50,PREPAID SERVICE CONTRACTS,
42,PHA797,ALVOCURE,PHARMACY,,TABS,1800,1800,INVENTORY - PHARMACY,PHARMACY
43,5010,ALWAYS PADS,CANTEEN & CATERING,,PIECES,0,80,PREPAID SERVICE CONTRACTS,PHYSIOTHERPHY EQUIPMENT
44,PHA820,AM-PILL DOXYLAMINE/PYRIDOXINE],PHARMACY,,TABS,16,20,INVENTORY - PHARMACY,PHARMACY
45,PHA822,AMBROX SYRUP[CASH ONLY],PHARMACY,,TABS,150,200,INVENTORY - PHARMACY,PHARMACY
46,PHA582,AMBUBAG PEADS,PHARMACY,,TABS,7500,0,INVENTORY - PHARMACY,PHARMACY
47,PHA748,AMICA [TRANEXAMIC ACID 500MG AND MEFENAMICMG 250] CASH,PHARMACY,,TABS,37.5,50,INVENTORY - PHARMACY,PHARMACY
48,PHA669,AMIKACIN INJECTION 500MG/2MLS[CASH],PHARMACY,,TABS,48.1,100,INVENTORY - PHARMACY,PHARMACY
49,PHA011,AMINOPHYLLINE INJ. 250MG/ML,PHARMACY,,TABS,0,50,INVENTORY - PHARMACY,PHARMACY
50,PHA329,AMINOSIDINE TABS 250MG 0,PHARMACY,,TABS,0,25,INVENTORY - PHARMACY,PHARMACY
51,PHA012,AMITRIPTYLINE TABS. 25MG,PHARMACY,,TABS,0,5,INVENTORY - PHARMACY,PHARMACY
52,PHA013,AMLODIPINE TABS 10MG [CASH],PHARMACY,,TABS,0,10,INVENTORY - PHARMACY,PHARMACY
53,PHA014,AMLODIPINE TABS. 5MG,PHARMACY,,TABS,0,5,INVENTORY - PHARMACY,PHARMACY
54,PHA886,"AMLOZAAR-H[ AML5,LOS50 AND HCTZ 12.5 (CASH ONLY)",PHARMACY,,TABS,38.4,55,INVENTORY - PHARMACY,PHARMACY
55,PHA832,AMLOZAAR[AMLODIPINE/LOSARTAN[5MG/50MG] (CASH ONLY),PHARMACY,,TABS,41,45,INVENTORY - PHARMACY,PHARMACY
56,PHA015,AMOXICILLIN CAPS 500MG,PHARMACY,,TABS,4.76,7,INVENTORY - PHARMACY,PHARMACY
57,PHA016,AMOXICILLIN CAPSULES 250MG,PHARMACY,,TABS,0,3,INVENTORY - PHARMACY,PHARMACY
58,PHA469,AMOXICILLIN DISPERSIBLE 250MG 0,PHARMACY,,TABS,2.26,5,INVENTORY - PHARMACY,PHARMACY
59,PHA017,AMOXICILLIN SUSPENSION 125MG/5ML,PHARMACY,,TABS,0,50,INVENTORY - PHARMACY,PHARMACY
60,PHA018,AMOXICILLIN SUSPENSION 250MG/5ML[CASH ONLY],PHARMACY,,TABS,0,150,INVENTORY - PHARMACY,PHARMACY
61,PHA692,AMOXICILLIN/FLUCLOXACILLIN 250/250MG[KEMOXYL+F](CASH ONLY),PHARMACY,,TABS,8.85,20,INVENTORY - PHARMACY,PHARMACY
62,PHA019,AMOXICLAV INJ. 1.2GM,PHARMACY,,TABS,0,300,INVENTORY - PHARMACY,PHARMACY
63,PHA020,AMOXICLAV SUSPENSION 156.25MG/5ML,PHARMACY,,TABS,0,350,INVENTORY - PHARMACY,PHARMACY
64,PHA021,AMOXICLAV SUSPENSION 228MG/5ML,PHARMACY,,TABS,180,350,INVENTORY - PHARMACY,PHARMACY
65,PHA022,AMOXICLAV SUSPENSION 312.5MG/5ML,PHARMACY,,TABS,0,500,INVENTORY - PHARMACY,PHARMACY
66,PHA023,AMOXICLAV SUSPENSION 457MG/5ML,PHARMACY,,TABS,180,350,INVENTORY - PHARMACY,PHARMACY
67,PHA025,AMOXICLAV TABS 375MG,PHARMACY,,TABS,0,35,INVENTORY - PHARMACY,PHARMACY
68,PHA024,AMOXICLAV TABS 625MG,PHARMACY,,TABS,0,40,INVENTORY - PHARMACY,PHARMACY
69,PHA494,AMOXYCILLIN/CLAVULANATE DISPERSIBLE 228,PHARMACY,,TABS,0,40,INVENTORY - PHARMACY,PHARMACY
70,PHA833,AMOXYCLAV 1GM,PHARMACY,,TABS,56,60,INVENTORY - PHARMACY,PHARMACY
71,PHA982,AMOXYCLAV 312.5 MG DISPERSIBLE TABLETS,PHARMACY,,TABS,0,20,INVENTORY - PHARMACY,PHARMACY
72,PHA872,AMOXYL*FLUCLOXACILLIN SUSP 125NG*125MG [CASH],PHARMACY,,TABS,120,250,INVENTORY - PHARMACY,PHARMACY
73,PHA670,AMPICILLIN INJECTION,PHARMACY,,TABS,15,100,INVENTORY - PHARMACY,PHARMACY
74,PHA905,AMPICLOX CAPS [ CASH ONLY],PHARMACY,,TABS,4.5,6,INVENTORY - PHARMACY,PHARMACY
